inventory_month,month,inventory_turnover_ratio
2022-04-01,April,0.81
2022-05-01,May,0.65
2022-06-01,June,0.65
2022-07-01,July,0.68
2022-08-01,August,0.77
2022-09-01,September,0.95
2022-10-01,October,0.81
2022-11-01,November,0.92
2022-12-01,December,1.03
2023-01-01,January,0.74
2023-02-01,February,1.17
2023-03-01,March,0.84
2023-04-01,April,1.08
2023-05-01,May,0.81
2023-06-01,June,0.8
2023-07-01,July,0.99
2023-08-01,August,1.11
2023-09-01,September,0.69
2023-10-01,October,0.74
2023-11-01,November,0.9
2023-12-01,December,0.9
2024-01-01,January,0.76
2024-02-01,February,0.91
2024-03-01,March,0.83
2024-04-01,April,0.69
2024-05-01,May,0.72
