inventory_month,month,total_opening_value,MoM_growth_percent_ov,total_receipt_value,MoM_growth_percent_rv,total_issue_value,MoM_growth_percent_iv,total_closing_value,MoM_growth_percent_cv
2022-04-01,April,967287.06,"",1025495.5,"",895144.48,"",1234588.21,""
2022-05-01,May,1234589.24,27.63,821112.26,-19.93,846161.5,-5.47,1351950.76,9.51
2022-06-01,June,1351951.94,9.51,914694.6,11.4,909036.4,7.43,1438354.5,6.39
2022-07-01,July,1438355.56,6.39,853383.7,-6.7,969273.21,6.63,1416085.41,-1.55
2022-08-01,August,1416086.7,-1.55,830514.49,-2.68,1074433.11,10.85,1357664.64,-4.13
2022-09-01,September,1357665.72,-4.13,903371.78,8.77,1200819.13,11.76,1180067.72,-13.08
2022-10-01,October,1180068.69,-13.08,854884.8,-5.37,957169.02,-20.29,1170999.9,-0.77
2022-11-01,November,1164730.12,-1.3,1043600.39,22.07,1127089.02,17.75,1279735.59,9.29
2022-12-01,December,1285178.12,10.34,912488.26,-12.56,1238320.49,9.87,1108030.13,-13.42
2023-01-01,January,1108031.16,-13.78,725750.39,-20.46,828950.56,-33.06,1129721.34,1.96
2023-02-01,February,1129722.21,1.96,1071409.13,47.63,1277804.67,54.15,1054046.83,-6.7
2023-03-01,March,1054047.57,-6.7,499642.17,-53.37,825483.92,-35.4,910693.89,-13.6
2023-04-01,April,937537.39,-11.05,1112189.77,122.6,1099818.08,33.23,1097495.94,20.51
2023-05-01,May,1097496.74,17.06,748530.32,-32.7,877502.58,-20.21,1072928.54,-2.24
2023-06-01,June,1072929.45,-2.24,664892.51,-11.17,833438.28,-5.02,1019525.72,-4.98
2023-07-01,July,1017069.11,-5.21,1047481.38,57.54,1062056.05,27.43,1129950.52,10.83
2023-08-01,August,1129951.67,11.1,960383.42,-8.31,1198084.93,12.81,1023132.05,-9.45
2023-09-01,September,1023946.54,-9.38,827691.53,-13.82,756102.83,-36.89,1158980.95,13.28
2023-10-01,October,1158981.81,13.19,671141.11,-18.91,838234.66,10.86,1104829.17,-4.67
2023-11-01,November,1104829.82,-4.67,566916.25,-15.53,904564.39,7.91,908492.5,-17.77
2023-12-01,December,908493.01,-17.77,729278.91,28.64,827855.86,-8.48,922670.57,1.56
2024-01-01,January,922671.11,1.56,834579.75,14.44,761567.84,-8.01,1092566.21,18.41
2024-02-01,February,1092567.07,18.41,968012.63,15.99,1027861.76,34.97,1163977.83,6.54
2024-03-01,March,1163978.9,6.54,609192.53,-37.07,900502.29,-12.39,1013514.18,-12.93
2024-04-01,April,1018071.36,-12.54,1264198.37,107.52,880147.83,-2.26,1534339.16,51.39
2024-05-01,May,1534340.16,50.71,951848.35,-24.71,1100001.65,24.98,1526473.13,-0.51
